age,gender
32,F
37,M
17,F
26,F
32,M
28,M
31,F
26,M
30,M
29,M
35,M
31,F
31,F
27,M
27,M
27,M
31,M
27,F
31,F
40,M
34,M
28,M
36,F
27,M
19,F
24,M
20,F
28,M
30,F
38,M
31,M
28,M
34,F
18,M
31,F
33,F
22,M
35,M
31,M
27,F
33,M
41,F
30,F
31,M
27,M
25,M
34,M
25,M
30,M
27,F
32,F
31,F
35,M
27,F
28,F
25,F
27,F
31,F
33,M
25,M
34,F
36,F
32,F
39,M
26,M
23,F
21,M
37,M
33,F
29,M
31,M
24,F
42,M
30,M
30,F
33,M
32,M
31,F
26,F
32,F
39,M
36,F
37,M
27,F
25,M
29,F
30,F
35,F
21,F
37,M
29,F
27,F
24,M
21,F
34,M
30,F
23,F
23,F
28,M
38,F
28,F
22,F
28,M
28,M
16,F
29,M
28,F
33,F
39,F
35,F
28,F
24,F
42,F
30,M
30,M
29,M
30,M
29,M
27,M
27,M
29,F
27,F
26,F
30,F
28,M
37,M
16,F
35,F
36,M
19,F
28,F
28,F
22,F
26,M
24,F
38,F
34,M
36,M
33,F
24,M
27,F
32,F
23,M
33,F
28,F
28,F
33,F
32,M
28,M
35,F
24,M
33,F
32,F
28,F
31,F
23,F
34,M
29,F
27,M
35,M
26,F
22,F
22,F
33,F
23,F
38,M
19,F
38,F
31,M
29,M
27,F
31,M
29,F
35,M
30,M
30,F
28,M
29,M
31,M
21,M
23,M
33,M
30,F
29,F
30,M
31,F
27,F
26,F
30,M
25,F
32,M
21,F
35,M
32,M
31,F
34,F
38,M
35,F
20,F
23,F
26,M
30,M
32,F
26,F
30,F
26,M
26,M
22,F
25,F
23,F
25,F
35,F
25,F
43,M
32,F
30,M
25,F
33,F
27,M
30,M
42,M
29,M
35,F
26,M
29,F
38,M
26,F
39,F
33,F
27,F
33,F
34,F
33,M
22,F
26,M
28,M
29,F
33,M
30,F
23,M
31,F
33,M
32,F
35,F
34,F
32,F
29,M
21,F
32,M
31,M
31,M
23,F
24,M
35,M
29,M
33,F
30,F
30,M
34,F
27,F
30,M
27,M
27,F
28,M
31,F
27,F
36,F
25,F
29,F
27,F
37,M
30,M
35,F
22,F
31,F
34,M
30,F
35,M
27,F
37,F
41,M
28,M
27,F
37,F
37,F
27,M
27,M
28,M
23,M
25,M
24,M
26,F
29,F
31,M
37,F
25,F
34,M
28,F
29,M
33,M
24,F
31,M
30,M
32,M
31,M
42,M
26,M
27,M
26,M
27,F
26,F
35,F
37,M
27,M
25,F
32,F
27,F
33,M
31,F
22,F
37,M
38,F
26,M
28,M
31,M
31,F
33,F
40,M
29,F
26,F
23,F
26,F
29,M
38,F
27,M
31,M
29,F
35,M
42,F
27,F
27,M
35,M
33,M
39,M
32,F
28,F
32,F
35,M
34,M
32,M
35,F
35,M
36,F
33,M
29,F
30,F
36,M
25,M
31,F
28,F
30,M
36,M
30,F
30,M
23,F
33,F
33,M
40,M
28,M
31,M
31,M
37,F
29,F
31,M
33,M
30,M
27,F
30,M
35,M
24,F
30,F
26,M
35,M
22,M
27,F
31,M
37,M
29,M
27,F
39,F
22,M
19,M
32,F
27,F
24,F
33,F
31,F
27,F
23,F
34,F
33,F
29,M
39,M
24,M
22,F
26,M
29,F
31,F
28,M
31,F
23,M
37,M
29,M
35,F
31,M
32,F
32,M
32,M
33,M
36,F
30,F
33,F
29,M
37,M
26,F
39,F
29,F
22,F
30,F
26,F
34,M
26,F
27,M
20,M
27,F
17,F
22,M
33,F
33,F
32,M
25,M
29,M
29,F
24,M
37,F
34,M
28,M
30,M
31,F
19,F
28,M
26,M
24,M
28,F
38,M
33,F
27,M
32,M
