age,gender
55,M
27,F
25,F
41,F
40,M
41,M
42,F
37,M
54,F
23,M
31,M
38,F
23,M
38,M
56,M
40,F
42,M
27,M
33,F
36,M
36,M
52,M
45,M
28,M
42,F
44,F
51,M
55,M
29,M
31,F
27,F
37,M
44,M
49,F
39,M
36,F
41,F
31,M
60,F
23,M
41,M
60,M
40,M
38,M
36,M
38,F
53,F
17,F
55,F
25,M
37,F
35,F
45,F
24,M
44,F
60,M
26,F
41,M
33,M
44,F
40,M
33,M
44,F
58,F
38,F
47,M
27,M
30,M
44,F
54,M
43,M
36,M
39,M
27,M
46,M
48,M
35,F
35,F
42,F
35,M
39,M
60,F
37,M
36,F
33,M
47,M
38,F
33,F
53,F
54,F
33,F
21,M
50,M
33,M
47,F
20,F
48,F
27,F
47,F
40,F
30,M
35,M
46,M
41,M
45,M
59,F
24,F
56,F
41,F
31,F
26,F
38,M
49,F
38,F
55,F
25,F
39,M
27,M
43,F
48,M
35,M
13,F
41,F
44,F
44,F
52,F
29,M
46,F
51,F
22,F
43,M
34,F
39,F
43,F
35,M
33,F
40,F
29,F
29,M
46,F
28,F
46,F
44,M
22,F
33,F
51,F
30,M
35,M
44,F
47,M
37,M
34,M
54,F
57,F
49,M
40,M
31,M
31,F
45,F
44,M
54,M
46,M
24,M
50,F
30,M
36,F
42,M
59,M
71,M
46,M
38,M
45,F
48,M
36,M
57,M
42,F
44,F
46,F
44,F
48,M
33,M
34,M
28,F
44,M
47,M
44,F
56,F
39,F
46,M
29,M
36,F
46,M
48,F
37,F
39,M
24,F
36,F
48,F
45,M
45,F
40,F
40,F
33,F
46,F
44,F
44,F
34,M
18,M
50,F
35,M
31,M
46,F
36,M
50,F
46,F
46,F
26,F
52,F
42,M
36,F
41,M
22,F
44,F
29,F
26,M
24,F
51,F
33,F
55,F
34,M
22,F
28,M
52,F
38,M
34,M
41,F
45,F
51,M
54,F
36,F
26,F
35,M
42,F
30,F
30,F
43,M
39,F
40,M
32,F
37,M
30,F
48,F
50,M
21,M
30,M
25,F
33,F
